soi_source_var,form,core_harmonized_name,nodc_efile_var,legacy_core_names,nodc_vscope,nodc_label,core_description,core_years,nodc_years,legacy_years
filedlieuf1041cd,PC,filed_in_lieu_1041_cd,F9_05_4947_FORM_990_FILED_1041_X,,F990,Filing Form 990 in lieu of Form 1041 [x],Form 990 in lieu of 1041?,2013-2024,2013-2024,
filedlieufy04ycd,PC,filed_in_lieu_1041_cd,F9_05_4947_FORM_990_FILED_1041_X,,F990,Filing Form 990 in lieu of Form 1041 [x],Form 990 in lieu of 1041? (2015 typo: Y for 1),2015,2015-2015,
filerqrdrtnscd,PC,filed_employment_tax_returns_cd,F9_05_EMPL_TAX_RETURN_FILED_X,,F990,Filed all required federal employment tax returns [x],Employment tax returns filed?,2013-2024,2013-2024,
fmlybusnreltdcd,PC,family_business_relationship_cd,F9_04_BIZ_TRANSAC_DTK_FAM_X,,F990,"Was party to a business transaction with a family member of a current or former officer, director, trustee, key employee, creator or founder, or substantial contributor [x]",Business relationship thru family member?,2013-2024,2013-2024,
fndsrcvdcd,PC,received_funds_for_premiums_cd,F9_05_170C_FUNDS_FOR_PREMIUM_X,,F990,Received funds to pay premiums on a personal benefit contract [x],Funds to pay premiums?,2013-2024,2013-2024,
frgnacctcd,PC,foreign_account_cd,F9_05_FRGN_FIN_ACC_X,,F990,Had a foreign financial account [x],Foreign financial account?,2013-2024,2013-2024,
frgnaggragrntscd,PC,foreign_grants_indiv_5k_cd,F9_04_GRANT_MT_5K_FRGN_INDIV_X,,F990,"Reported more than $5,000 to or for foreign individuals [x]","More than $5000 to individuals Part IX, line 3?",2013-2024,2013-2024,
frgngrntscd,PC,foreign_grants_orgs_5k_cd,F9_04_GRANT_MT_5K_FRGN_ORG_X,,F990,"Reported more than $5,000 to or for any foreign organization [x]","More than $5000 to organizations Part IX, line 3?",2013-2024,2013-2024,
frgnofficecd,PC,foreign_office_cd,F9_04_FRGN_OFFICE_X,,F990,Maintained a foreign office [x],Foreign office?,2013-2024,2013-2024,
frgnrevexpnscd,PC,foreign_activities_cd,F9_04_FRGN_ACT_X,,F990,"Aggregated revenues or expenses of more than $10,000 from grantmaking, fundraising, business, investment, and program service activities outside the US, or aggregated foreign investments valued at $100,000 or more [x]","Foreign activities, etc?",2013-2024,2013-2024,
fw2gcnt,PC,n_form_w2g,F9_05_NUM_FORM_W2G,,F990,Number of Forms W-2G included on line 1a,Number W-2Gs included in 1a,2013-2024,2013-2024,
gftgrntsrcvd170,PC,gifts_grants_received_sec170,SA_02_PUB_GIFT_GRANT_CONTR_TOT,CONT4;gftgrntsrcvd170,BOTH,"Gifts, grants, contributions, and membership fees received during the current tax year and the four years prior",Gifts grants membership fees received (170),2012-2024,2012-2024,1997-2010;2011
gnlsecur,PC,net_gain_loss_securities,F9_08_REV_OTH_SALE_GAIN_SEC,P1SECURN;SALESECN,F990,Gain on sales of assets - securities,Net gain from sales -- Securities,2012-2024,2012-2024,1997-1999;1997-2011
gnlsothr,PC,net_gain_loss_other,F9_08_REV_OTH_SALE_GAIN_OTH,SALEOTHN,F990,Gain on sales of assets - other,Net gain from sales -- Other assets,2012-2024,2012-2024,1997-2011
grantoofficercd,PC,grant_to_related_person_cd,F9_04_GRANT_RLTD_PERS_X,,F990,"Provided grants to current or former officers, directors, trustees, key employees, creators or founders, or substantial contributors, or their family members or controlled entities [x]",Grant to related person?,2013-2024,2013-2024,
grnsttoindiv,PC,grants_to_individuals,F9_09_EXP_GRANT_US_INDIV_TOT,,F990,Grants to domestic individuals - total expenses,Grants to individuals in the US,2013-2024,2013-2024,
grntspayableend,PC,grants_payable_eoy,F9_10_LIAB_GRANT_PAYABLE_EOY,,F990,Grants payable - end of year,Grants payable -- eoy,2013-2024,2013-2024,
grntstofrgngovt,PC,grants_to_foreign_govt,F9_09_EXP_GRANT_FRGN_TOT,,F990,"Grants to foreign organizations, governments, and individuals - total expenses",Grants to orgs and individuals outside the US,2013-2024,2013-2024,
grntstogovt,PC,grants_to_govt,F9_09_EXP_GRANT_US_ORG_TOT,,F990,Grants to domestic organizations and government - total expenses,Grants to governments/orgs in the US,2013-2024,2013-2024,
grsalesecur,PC,gross_sales_securities,F9_08_REV_OTH_SALE_ASSET_SEC,SECUR,F990,Gross sales of assets - securities,Gross sales -- Securities,2012-2024,2012-2024,1989-2011
grsalesinvent,PC,gross_sales_inventory,F9_08_REV_OTH_INV_GRO_SALE,INVENTG;P1INVNTG,BOTH,Gross sales of inventory,Gross sales of inventory,2012-2024,2012-2024,1997-1999;1997-2011
grsalesothr,PC,gross_sales_other,F9_08_REV_OTH_SALE_ASSET_OTH,SALEOTHG,F990,Gross sales of assets - other,Gross sales -- Other assets,2012-2024,2012-2024,1997-2011
grsinc170,PC,gross_income_interest_sec170,SA_02_TOT_INCOME_GRO_TOT,A4A_IVST;grsinc170;INVINC4;SAVINT,BOTH,Gross investment income during the current tax year and the four years prior,Gross income from interest etc (170),2012-2024,2012-2024,1997-1999;1997-2010;2011
grsinc509,PC,gross_income_interest_sec509,SA_03_TOT_INCOME_GRO_TOT,,BOTH,Gross investment income during the current tax year and the four years prior,Gross income from interest etc (509),2013-2024,2013-2024,
grsincfndrsng,PC,gross_income_fundraising_events,F9_08_REV_OTH_FUNDR_EVNT_1,grsincfndrsng;P1SPEVC,BOTH,Gross income from fundraising events,Gross fundraising,2012-2024,2012-2024,1997-1999;2011
grsincgaming,PC,gross_income_gaming_activities,F9_08_REV_OTH_GAMING,grsincgaming;SPEVTG,BOTH,Gross income from gaming activities,Gross income from gaming,2012-2024,2012-2024,"1989, 1997-2011;2011"
grsincmembers,PC,gross_income_members,F9_05_501C12_GRO_INCOME_MEMB,GRRECMEM;P6MEMINC,F990,Gross income from members or shareholders,Gross income from members,2012-2024,2012-2024,1989-1999;1989-2011
grsincother,PC,gross_income_other,F9_05_501C12_GRO_INCOME_OTH,GRRECOTH;P6OTHINC,F990,Gross income from other sources,Gross income from other sources,2012-2024,2012-2024,1989-1999;1989-2011
grsrcptsactivities509,PC,gross_receipts_related_activities_sec509,SA_03_PUB_GRO_RCPT_NONUBIZ_TOT,,BOTH,Gross receipts from activities that are not an unrelated trade or business during the current tax year and the four years prior,Gross receipts from related activities (509),2013-2024,2013-2024,
grsrcptsadmissn509,PC,gross_receipts_admissions_sec509,SA_03_PUB_GRO_RCPT_ADM_TOT,GRREC4;grsrcptsadmissn509,BOTH,"Gross receipts from admissions, merchandise sold or service performed, or facilities furnished during the current tax year and the four years prior",Receipts from admissions merchandise etc (509),2012-2024,2012-2024,1997-2010;2011
grsrcptspublicuse,PC,gross_receipts_public_use,F9_05_501C7_GRO_RCPT_PUB_USE,GRRECPUB;P1SALES,BOTH,Gross receipts for public use of club facilities,Gross receipts amount,2012-2024,2012-2024,1989-1999;1989-2011
grsrcptsrelated170,PC,gross_receipts_related_activities_sec170,SA_02_TOT_GRO_RCPT_RLTD_ACTS,A4A_BUST;grsrcptsrelated170,BOTH,Gross receipts from related activities,Gross receipts from related activities (170),2012-2024,2012-2024,1997-1999;2011
grsrntsprsnl,PC,gross_rents_personal,F9_08_REV_OTH_RENT_GRO_PERS,grsrntsprsnl,F990,Gross rents - personal,Gross rents -- Personal property,2012-2024,2012-2024,2011
grsrntsreal,PC,gross_rents_real,F9_08_REV_OTH_RENT_GRO_REAL,grsrntsreal,F990,Gross rents - real,Gross rents -- Real estate,2012-2024,2012-2024,2011
hldassetsintermpermcd,PC,donor_restricted_endowments_cd,F9_04_ENDOW_X,,F990,Held assets in donor-restricted or quasi endowments [x],Term or permanent endowments?,2013-2024,2013-2024,
hospaudfinstmtcd,PC,hospital_audited_attached_cd,F9_04_HOSPITAL_AFS_X,,F990,Hospital and attached audited financial statements [x],Hospital audited financial statement included?,2013-2024,2013-2024,
inclinfinstmtcd,PC,included_in_consol_audited_cd,F9_04_AFS_CONSOL_X,,F990,Included in consolidated independent audited financial statements [x],Included in consolidated financial statements?,2013-2024,2013-2024,
infotech,PC,information_technology,F9_09_EXP_INFO_TECH_TOT,,F990,Information technology - total expenses,Information technology,2013-2024,2013-2024,
initiationfees,PC,initiation_fees,F9_05_501C7_INITIATION_FEES,INITFEES;P6INIFEE,BOTH,Initiation fees and capital contributions,Initiation fees amount,2012-2024,2012-2024,1989-1999;1989-2011
insurance,PC,insurance,F9_09_EXP_INSURANCE_TOT,,F990,Insurance - total expenses,Insurance,2013-2024,2013-2024,
intangibleassetsend,PC,intangible_assets_eoy,F9_10_ASSET_INTANGIBLE_EOY,,F990,Intangible assets - end of year,Intangible assets -- eoy,2013-2024,2013-2024,
interestamt,PC,interest_expense,F9_09_EXP_INT_TOT,P7INTXAT,F990,Interest - total expenses,Interest expense,2013-2024,2013-2024,1997-1999
intincntrlcd,PC,related_org_controlled_cd,F9_04_ENTITY_CTRL_X,,F990,Had a controlled entity [x],Related organization a controlled entity?,2013-2024,2013-2024,
invntriesalesend,PC,inventories_for_sale_eoy,F9_10_ASSET_INV_SALE_EOY,,F990,Inventories for sale or use - end of year,Inventories for sale or use -- eoy,2013-2024,2013-2024,
invstmntinc,PC,investment_income,F9_08_REV_OTH_INVEST_INCOME_TOT,INVINC;OTHINVST;P1INVST;P7DIVRIN;P7INVRIN;SECINC,F990,Investment income - total,Investment income,2012-2024,2012-2024,1989-1999;1989-2011;1997-1999;1997-2010
invstmntsend,PC,investments_eoy,F9_10_ASSET_INVEST_SEC_EOY,InvSecEstimate,F990,Investments - publicly traded securities - end of year,Investments in publicly traded securities -- eoy,2013-2024,2013-2024,1998-2010
invstmntsothrend,PC,investments_other_eoy,F9_10_ASSET_INVEST_SEC_OTH_EOY,InvOthEstimate,F990,Investments - other securities - end of year,Investments in other securities -- eoy,2013-2024,2013-2024,1998-2010
invstmntsprgmend,PC,program_related_investments_eoy,F9_10_ASSET_INVEST_PROG_RLTD_EOY,,F990,Investments - program-related - end of year,Program-related investments -- eoy,2013-2024,2013-2024,
invstproceedscd,PC,bond_proceeds_invested_cd,F9_04_TAX_EXEMPT_BOND_INVEST_X,,F990,Invested proceeds of tax-exempt bonds [x],Investment income?,2013-2024,2013-2024,
lbbyingactvtscd,PC,lobbying_activities_cd,F9_04_LOB_ACT_X,A3LOBBY,F990,Engaged in lobbying or had a section 501(h) election [x],Lobbying activities?,2013-2024,2013-2024,1989-1999
legalfees,PC,legal_fees,F9_09_EXP_FEE_SVC_LEGAL_TOT,,F990,Fees for services - legal - total expenses,Legal fees,2013-2024,2013-2024,
lesscstofgoods,PC,cost_of_goods_sold,F9_08_REV_OTH_INV_COST_GOODS,GOODS;P1INVNTC,BOTH,Cost of goods sold,Cost of goods sold (inventory),2012-2024,2012-2024,1989-1999;1989-2011
lessdirfndrsng,PC,fundraising_events_direct_expenses,F9_08_REV_OTH_FUNDR_DIRECT_EXP,lessdirfndrsng;P1FREXP;SOLICIT,F990,Direct expenses from fundraising events,Fundraising expenses,2012-2024,2012-2024,1989-1999;1989-2010;2011
lessdirgaming,PC,gaming_activities_direct_expenses,F9_08_REV_OTH_GAMING_DIRECT_EXP,lessdirgaming,F990,Direct expenses from gaming activities,Gaming expenses,2012-2024,2012-2024,2011
lndbldgsequipend,PC,land_bldg_equip_eoy,F9_10_ASSET_LAND_BLDG_DEPREC,NetLandEstimate;nInvLndEstimate,F990,"Accumulated depreciation of land, buildings, and equipment","Land, buildings, & equipment (net) -- eoy",2013-2024,2013-2024,1998-2008;1998-2010
loantofficercd,PC,loan_to_interested_person_cd,F9_04_LOAN_DTK_X,,BOTH,"Reported loans to or from current or former officers, directors, trustees, or key employees; or had outstanding loans [x]",Loan to officer or DQP?,2013-2024,2013-2024,
maintescrwaccntcd,PC,escrow_account_cd,F9_04_TAX_EXEMPT_BOND_ESCROW_X,,F990,Maintained an escrow account [x],Escrow account?,2013-2024,2013-2024,
maintwrkofartcd,PC,art_historical_collections_cd,F9_04_COLLEC_ART_X,,F990,"Maintained collections of art, historical treasures, or other similar assets [x]",Collections of art?,2013-2024,2013-2024,
miscrev11acd,PC,other_revenue_code_11a,F9_08_REV_MISC_BIZCODE_LINE_A,,F990,Miscellaneous revenue business code,Other revenue code 11a,2013-2024,2013-2024,
miscrev11bcd,PC,other_revenue_code_11b,F9_08_REV_MISC_BIZCODE_LINE_B,,F990,Miscellaneous revenue business code,Other revenue code 11b,2013-2024,2013-2024,
miscrev11ccd,PC,other_revenue_code_11c,F9_08_REV_MISC_BIZCODE_LINE_C,,F990,Miscellaneous revenue business code,Other revenue code 11c,2013-2024,2013-2024,
miscrevtot11b,PC,other_revenue_amount_11b,F9_08_REV_MISC_TOT_LINE_B,,F990,Miscellaneous revenue - total,Other revenue amount 11b,2013-2024,2013-2024,
miscrevtot11c,PC,other_revenue_amount_11c,F9_08_REV_MISC_TOT_LINE_C,,F990,Miscellaneous revenue - total,Other revenue amount 11c,2013-2024,2013-2024,
miscrevtot11d,PC,other_revenue_amount_11d,F9_08_REV_MISC_OTH_TOT,,F990,Other miscellaneous revenue - total,Other revenue amount 11d,2013-2024,2013-2024,
miscrevtot11e,PC,other_revenue_total_11e,F9_08_REV_MISC_TOT_TOT,OTHINC;P1OTHREV,BOTH,Total miscellaneous revenue,Other revenue,2012-2024,2012-2024,"1989, 1991-2011;1991-1999"
miscrevtota,PC,other_revenue_amount_11a,F9_08_REV_MISC_TOT_LINE_A,,F990,Miscellaneous revenue - total,Other revenue amount 11a,2013-2024,2013-2024,
netgnls,PC,net_gain_loss_sales,F9_08_REV_OTH_SALE_GAIN_NET_TOT,,BOTH,Net gain on sales of assets - total,Sales of assets,2012-2024,2012-2024,
netincfndrsng,PC,net_income_fundraising_events,F9_08_REV_OTH_FUNDR_NET_TOT,FUNDINC;netincfndrsng;P1SPEVN,BOTH,Net income from fundraising events - total,Fundraising income,2012-2024,2012-2024,1989-2011;1991-1999;2011
netincgaming,PC,net_income_gaming_activities,F9_08_REV_OTH_GAMING_NET_TOT,netincgaming,F990,Net income from gaming activities - total,Gaming income,2012-2024,2012-2024,2011
netincsales,PC,net_income_inventory_sales,F9_08_REV_OTH_INV_NET_TOT,GRPROF;P1INVNTN,BOTH,Net income from sales of inventory - total,Income from sales of inventory,2012-2024,2012-2024,1989-1999;1989-2011
netincunrelatd509,PC,net_ubi_excl_10b_sec509,SA_03_TOT_INCOME_NET_UBIZ_TOT,,BOTH,Net income from unrelated business activities during the current tax year and the four years prior,Net income from UBI not in 10b (509),2013-2024,2013-2024,
netincunreltd170,PC,net_ubi_sec170,SA_02_TOT_INCOME_NET_UBIZ_TOT,,BOTH,Net income from unrelated business activities during the current tax year and the four years prior,Net UBI (170),2013-2024,2013-2024,
netrntlinc,PC,net_rental_income,F9_08_REV_OTH_RENT_NET_TOT,NETRENT;P1RENTE;P1RENTN,F990,Net rental income - total,Net rental income,2012-2024,2012-2024,1991-1999;1997-1999;1997-2011
nocontractor100kcnt,PC,n_contractors_over_100k,F9_07_COMP_KONTR_NUM_GT_100K,,F990,"Number of independent contractors who received more than $100,000 of compensation",Number of contractors greater than $100K,2013-2024,2013-2024,
noemplyeesw3cnt,PC,n_employees_w3,F9_05_NUM_EMPL,NumEmpEstimate,F990,Number of employees on Form W-3,Number of employees,2013-2024,2013-2024,2008-2010
noindiv100kcnt,PC,n_indiv_over_100k,F9_07_COMP_DTK_NUM_GT_100K,,F990,"Number of individuals who received more than $100,000 of compensation",Number individuals greater than $100K,2013-2024,2013-2024,
nonintcashend,PC,noninterest_cash_eoy,F9_10_ASSET_CASH_EOY,CashEstimate,F990,"Cash, non-interest-bearing - end of year",Cash -- non-interest bearing -- eoy,2013-2024,2013-2024,1998-2010
nonpfrea,PC,non_pf_status_reason,NON_PF_REASON,REASON,BOTH,"",Reason for non-PF status,2012-2024,2012-2024,1989-2011
notesloansrcvblend,PC,notes_and_loans_receivable_eoy,F9_10_ASSET_NOTE_LOAN_NET_EOY,,F990,Net notes and loans receivable - end of year,Notes and loans receivables -- eoy,2013-2024,2013-2024,
notfydnrvalcd,PC,notify_donor_value_cd,F9_05_170C_QUID_PRO_QUO_NOTIFY_X,,F990,Notified donor of the value of goods and services provided [x],Quid pro quo disclosure?,2013-2024,2013-2024,
occupancy,PC,occupancy,F9_09_EXP_OCCUPANCY_TOT,,F990,Occupancy - total expenses,Occupancy,2013-2024,2013-2024,
officexpns,PC,office_expenses,F9_09_EXP_OFFICE_TOT,,F990,Office expenses - total expenses,Office expenses,2013-2024,2013-2024,
operatehosptlcd,PC,operates_hospital_cd,F9_04_HOSPITAL_X,,F990,Hospital [x],Hospital?,2013-2024,2013-2024,
operateschools170cd,PC,operates_school_sec170_cd,F9_04_SCHOOL_X,,F990,School [x],School?,2013-2024,2013-2024,
operateschoolsy70cd,PC,operates_school_sec170_cd,F9_04_SCHOOL_X,,F990,School [x],School? (2015 typo: Y for 1),2015,2015-2015,
orgtrnsfrcd,PC,transfer_to_noncharitable_org_cd,F9_04_TRANSFER_EXEMPT_ORG_X,,F990,Made transfers to an exempt non-charitable related organization [x],Any transfers to exempt non-charitable org?,2013-2024,2013-2024,
othrassetsend,PC,other_assets_eoy,F9_10_ASSET_OTH_EOY,OthAsstEstimate,F990,Other assets - end of year,Other assets -- eoy,2013-2024,2013-2024,1998-2010
othremplyeebenef,PC,other_employee_benefits,F9_09_EXP_OTH_EMPL_BEN_TOT,,F990,Other employee benefits - total expenses,Other employee benefits,2013-2024,2013-2024,
othrexpnsa,PC,other_expenses_24a,F9_09_EXP_OTH_24A,,F990,Other expenses - total expenses,Other expenses 24a,2013-2024,2013-2024,
othrexpnsb,PC,other_expenses_24b,F9_09_EXP_OTH_24B,,F990,Other expenses - total expenses,Other expenses 24b,2013-2024,2013-2024,
othrexpnsc,PC,other_expenses_24c,F9_09_EXP_OTH_24C,,F990,Other expenses - total expenses,Other expenses 24c,2013-2024,2013-2024,
othrexpnsd,PC,other_expenses_24d,F9_09_EXP_OTH_24D,,F990,Other expenses - total expenses,Other expenses 24d,2013-2024,2013-2024,
othrexpnse,PC,other_expenses_24e,F9_09_EXP_OTH_24E,,F990,All other expenses - total expenses,Other expenses 24e,2013-2024,2013-2024,
othrexpnsf,PC,other_expenses_24f,F9_09_EXP_OTH_24F,,F990,All other expenses - total expenses,Other expenses 24f,2013-2024,2013-2024,
othrinc170,PC,other_income_sec170,SA_02_TOT_INCOME_OTH_TOT,A4A_OTHT,BOTH,Other income during the current tax year and the four years prior,Other income (170),2013-2024,2013-2024,1997-1999
othrinc509,PC,other_income_sec509,SA_03_TOT_INCOME_OTH_TOT,,BOTH,Other income during the current tax year and the four years prior,Other income (509),2013-2024,2013-2024,
othrliabend,PC,other_liabilities_eoy,F9_10_LIAB_OTH_EOY,,F990,Other liabilities - end of year,Other liabilities -- eoy,2013-2024,2013-2024,
othrsalwages,PC,other_salaries_wages,F9_09_EXP_OTH_SAL_WAGE_TOT,OTHSAL;P2TWAGES,F990,Other salaries and wages - total expenses,Other salaries and wages,2012-2024,2012-2024,1997-1999;1997-2011
ownsepentcd,PC,disregarded_entity_cd,F9_04_ENTITY_DISREG_X,,F990,Owned 100% of a separate disregarded entity [x],Disregarded entity?,2013-2024,2013-2024,
paidinsurplusend,PC,paid_in_surplus_eoy,F9_10_NAFB_CAP_SURPLUS_EOY,,F990,"Paid-in or capital surplus, or land, building, or equipment fund - end of year",Paid-in or capital surplus -- eoy,2013-2024,2013-2024,
paybletoffcrsend,PC,payable_to_officers_eoy,F9_10_LIAB_LOAN_OFF_EOY,,F990,"Loans and other payables to officers, directors, trustees, key employees, creators or founders, substantial contributors, or 35% controlled entities or family members - end of year","Payables to officers, directors, etc. -- eoy",2013-2024,2013-2024,
payrolltx,PC,payroll_taxes,F9_09_EXP_PAYROLL_TAX_TOT,P2TPYTAX;PAYTAX,F990,Payroll taxes - total expenses,Payroll taxes,2012-2024,2012-2024,1997-1999;1997-2011
pensionplancontrb,PC,pension_plan_contributions,F9_09_EXP_PENSION_CONTR_TOT,,F990,Pension plan accruals and contributions - total expenses,Pension plan contributions,2013-2024,2013-2024,
permrstrctnetasstsend,PC,permanently_restricted_net_assets_eoy,F9_10_NAFB_RESTRICT_PERM_EOY,PermRnaEstimate,F990,Permanently restricted net assets - end of year,Permanently restricted net assets -- eoy,2013-2024,2013-2024,1998-2010
pldgegrntrcvblend,PC,pledges_grants_receivable_eoy,F9_10_ASSET_PLEDGE_NET_EOY,,F990,Net pledges and grants receivable - end of year,Pledges and grants receivable -- eoy,2013-2024,2013-2024,
politicalactvtscd,PC,political_activities_cd,F9_04_POLI_ACT_X,,F990,Engaged in political campaign activities [x],Political activities?,2013-2024,2013-2024,
premiumspaidcd,PC,paid_premiums_personal_benefit_cd,F9_05_170C_PREMIUM_PAID_X,,F990,Paid premiums on a personal benefit contract [x],Premiums paid?,2013-2024,2013-2024,
prepaidexpnsend,PC,prepaid_expenses_eoy,F9_10_ASSET_EXP_PREPAID_EOY,,F990,Prepaid expenses and deferred charges - end of year,Prepaid expenses or deferred charges -- eoy,2013-2024,2013-2024,
prgmservcode2acd,PC,program_revenue_code_2a,F9_08_REV_PROG_BIZCODE_LINE_A,,F990,Program service revenue business code,Program service revenue code 2a,2013-2024,2013-2024,
prgmservcode2bcd,PC,program_revenue_code_2b,F9_08_REV_PROG_BIZCODE_LINE_B,,F990,Program service revenue business code,Program service revenue code 2b,2013-2024,2013-2024,
prgmservcode2ccd,PC,program_revenue_code_2c,F9_08_REV_PROG_BIZCODE_LINE_C,,F990,Program service revenue business code,Program service revenue code 2c,2013-2024,2013-2024,
prgmservcode2dcd,PC,program_revenue_code_2d,F9_08_REV_PROG_BIZCODE_LINE_D,,F990,Program service revenue business code,Program service revenue code 2d,2013-2024,2013-2024,
prgmservcode2ecd,PC,program_revenue_code_2e,F9_08_REV_PROG_BIZCODE_LINE_E,,F990,Program service revenue business code,Program service revenue code 2e,2013-2024,2013-2024,
profndraising,PC,professional_fundraising_fees,F9_09_EXP_FEE_SVC_FUNDR_TOT,FUNDFEES;P2TFRFEE,F990,Fees for services - professional fundraising services - total expenses,Professional fundraising fees,2012-2024,2012-2024,1989-1999;1989-2011
prohibtdtxshltrcd,PC,prohibited_tax_shelter_cd,F9_05_PTST_X,,BOTH,Party to a prohibited tax shelter transaction [x],Prohibited tax shelter transaction?,2013-2024,2013-2024,
providegoodscd,PC,quid_pro_quo_contributions_cd,F9_05_170C_QUID_PRO_QUO_CONTR_X,,F990,"Received payment over $75, partly as contribution and partly for goods and services [x]",Quid pro quo contributions?,2013-2024,2013-2024,
prptyintrcvdcd,PC,conservation_easements_cd,F9_04_CONSERV_EMT_X,,F990,Received or held a conservation easement [x],Conservation easements?,2013-2024,2013-2024,
prtynotifyorgcd,PC,taxable_party_notification_cd,F9_05_PTST_PARTY_NOTIFY_X,,F990,Notified by taxable party of being party to a prohibited tax shelter transaction [x],Taxable party notification?,2013-2024,2013-2024,
pubsupplesspct170,PC,public_support_sec170,SA_02_PUB_SUPPORT_TOT,DirSupEstimate,BOTH,Public support total,Public support (170),2013-2024,2013-2024,1998-2011
pubsupplesub509,PC,public_support_sec509,SA_03_PUB_SUPPORT_TOT,,BOTH,Public support total,Public support (509),2013-2024,2013-2024,
pubsuppsubtot170,PC,public_support_subtotal_sec170,SA_02_PUB_TOT_L123_TOT,IndSupEstimate,BOTH,Total public support during the current tax year and the four years prior,Public support subtotal (170),2013-2024,2013-2024,1998-2011
pubsuppsubtot509,PC,public_support_subtotal_line6_sec509,SA_03_PUB_TOT_L1_5_TOT,,BOTH,Total public support during the current tax year and the four years prior,Public support subtotal (509),2013-2024,2013-2024,
pymtoaffiliates,PC,payments_to_affiliates,F9_09_EXP_PAY_AFFIL_TOT,PayAfflEstimate,F990,Payments to affiliates - total expenses,Payments to affiliates,2013-2024,2013-2024,1998-2010
qualhlthonhnd,PC,qualified_health_plan_reserves_on_hand,F9_05_501C29_RESERVE_MAINT_AMT,,F990,Reserves on hand,Qualified health plan reserves on hand,2013-2024,2013-2024,
qualhlthplncd,PC,qualified_health_plan_multi_state_cd,F9_05_501C29_LIC_HEALTH_PLAN_X,,F990,Licensed to issue qualified health plans in more than one state [x],Qualified health plan in multiple states,2013-2024,2013-2024,
qualhlthreqmntn,PC,qualified_health_plan_reserves_required,F9_05_501C29_STATE_RESERVE_AMT,,F990,State required reserves,Qualified health plan reserves required,2013-2024,2013-2024,
rcvbldisqualend,PC,receivables_disqualified_eoy,F9_10_ASSET_LOAN_DSQ_PERS_EOY,,F990,Loans and other receivables from disqualified persons - end of year,Receivables from disqualified persons -- eoy,2013-2024,2013-2024,
rcvdfrmdisqualsub509,PC,disqualified_persons_amts_sec509,SA_03_PUB_AMT_PERS_DSQ_TOT,,BOTH,Public support from disqualified persons during the current tax year and the four years prior,Amounts from disqualified persons (509),2013-2024,2013-2024,
rcvdpdtngcd,PC,received_pmt_indoor_tanning_cd,F9_05_TANNING_SVC_PROV_X,,F990,Received payments for indoor tanning services [x],Payments for indoor tanning,2013-2024,2013-2024,
recvartcd,PC,recv_art_historical_contributions_cd,F9_04_CONTR_ART_HIST_X,,F990,"Received contributions of art, historical treasures, or other similar assets, or qualified conservation contributions [x]","Deductible contributions of art, etc?",2013-2024,2013-2024,
recvnoncashcd,PC,recv_noncash_contributions_cd,F9_04_CONTR_NONCSH_MT_25K_X,,F990,"Received more than $25,000 in non-cash contributions [x]",Deductible non-cash contributions?,2013-2024,2013-2024,
reltdorgcd,PC,related_entity_cd,F9_04_ENTITY_RLTD_X,,F990,Was related to any tax-exempt or taxable entity [x],Related entity?,2013-2024,2013-2024,
retainedearnend,PC,retained_earnings_eoy,F9_10_NAFB_EARNING_RETAINED_EOY,P4E_RETN;RETEARN,F990,"Retained earnings, endowment, accumulated income, or other funds - end of year",Retained earnings -- eoy,2012-2024,2012-2024,1989-1999;1989-2011
rntlexpnsprsnl,PC,rental_expense_personal,F9_08_REV_OTH_RENT_LESS_EXP_PERS,rntlexpnsprsnl,F990,Rental expenses - personal,Rental expense -- Personal property,2012-2024,2012-2024,2011
rntlexpnsreal,PC,rental_expense_real,F9_08_REV_OTH_RENT_LESS_EXP_REAL,P7ESTRIN;RENTEXP;rntlexpnsreal,F990,Rental expenses - real,Rental expense -- Real estate,2012-2024,2012-2024,"1989, 1991-2011;1997-1999;2011"
rntlincprsnl,PC,net_rent_personal,F9_08_REV_OTH_RENT_INCOME_PERS,rntlincprsnl,F990,Rental income - personal,Net rent -- Personal property,2012-2024,2012-2024,2011
rntlincreal,PC,net_rent_real,F9_08_REV_OTH_RENT_INCOME_REAL,RETE_BOY;rntlincreal,F990,Rental income - real,Net rent -- Real estate,2012-2024,2012-2024,1997-2011;2011
royaltsexpns,PC,royalties_expense,F9_09_EXP_ROY_TOT,,F990,Royalties - total expenses,Royalties,2013-2024,2013-2024,
royaltsinc,PC,royalties_income,F9_08_REV_OTH_ROY_TOT,royaltsinc,F990,Royalties - total,Royalties,2012-2024,2012-2024,2011
rptgrntstogovtcd,PC,rpt_grants_to_orgs_or_govt_cd,F9_04_GRANT_MT_5K_US_ORG_X,,F990,"Reported more than $5,000 to domestic organizations or government [x]",Grants to organizations?,2013-2024,2013-2024,
rptgrntstoindvcd,PC,rpt_grants_to_individuals_cd,F9_04_GRANT_MT_5K_US_INDIV_X,,F990,"Reported more than $5,000 to or for domestic individuals [x]",Grants to individuals?,2013-2024,2013-2024,
rptincfnndrsngcd,PC,rpt_fundraising_events_15k_cd,F9_04_FUNDR_ACT_X,,F990,"Reported more than $15,000 gross income and contributions from fundraising events [x]",Fundraising activities?,2013-2024,2013-2024,
rptincgamingcd,PC,rpt_gaming_income_15k_cd,F9_04_GAMING_X,,F990,"Reported more than $15,000 gross income and contributions from gaming activity [x]",Gaming?,2013-2024,2013-2024,
